num_features,accuracy,f1_macro,mcc
5,0.8064516129032258,0.8221583652618135,0.6844000002669484
10,0.8064516129032258,0.8243114909781576,0.6946403992734363
20,0.8387096774193549,0.8758620689655173,0.7335684053747031
25,0.8064516129032258,0.818290431193657,0.6833950946297352
30,0.8387096774193549,0.873772791023843,0.7307870995167001
40,0.8709677419354839,0.9,0.7847222222222222
45,0.9032258064516129,0.9255172413793104,0.8408354835191173
50,0.8387096774193549,0.8758620689655173,0.7335684053747031
60,0.8064516129032258,0.85,0.6770833333333334
70,0.9354838709677419,0.9499999999999998,0.8923611111111112
100,0.9354838709677419,0.9499999999999998,0.8923611111111112
