num_features,cv_accuracy,cv_f1_macro,cv_mcc
50,0.8526666666666667,0.8830937857404407,0.7657276716106389
60,0.8276666666666668,0.8558865398273123,0.7192884205123871
70,0.8276666666666668,0.8467112532402613,0.7199464171867528
80,0.869,0.8878413830178535,0.7907953510709921
90,0.8443333333333334,0.877944033143387,0.748959415215247
100,0.852,0.8748323811264989,0.759891404187093
110,0.869,0.8963911942143199,0.7865416197602794
120,0.8273333333333334,0.8444858135786928,0.7164684825626002
130,0.8443333333333334,0.8763686154858586,0.7421990202634909
140,0.836,0.8701923914865091,0.73391371681347
150,0.8686666666666667,0.8965331415915612,0.7868042858562495
160,0.8026666666666668,0.8245221441037837,0.6708890041713084
170,0.852,0.8741892639947559,0.756536007610902
180,0.8113333333333334,0.8302105637391678,0.6955210835385116
190,0.8193333333333334,0.8473270983614233,0.7044669168140889
200,0.8193333333333334,0.8473302209772798,0.7016216641346176
210,0.8116666666666668,0.8479551494257377,0.6965949166386347
220,0.8446666666666667,0.8646040793683814,0.751175389627975
230,0.8193333333333334,0.8570814575512381,0.7007511796108776
240,0.8526666666666667,0.8838058688642885,0.760897202347197
250,0.8200000000000001,0.8461711885179378,0.7082214848225297
260,0.8123333333333334,0.8392434410104801,0.6937610353837383
270,0.8366666666666667,0.8703603455368162,0.7360797438142292
280,0.812,0.8392269087126178,0.693804162004052
290,0.8039999999999999,0.8236542591399683,0.6804211226838549
300,0.8033333333333333,0.834032255326373,0.6837341812034332
310,0.8283333333333334,0.853108669108669,0.7213033204260462
320,0.828,0.8626381128730032,0.722470810570273
330,0.8283333333333334,0.8633290798580878,0.7198848965303318
340,0.7953333333333333,0.8250156451087935,0.6669012353873648
350,0.8280000000000001,0.8496740094383114,0.7203764388809134
360,0.8113333333333334,0.8506389384036444,0.6951847093641473
370,0.8276666666666668,0.8527414187643021,0.7180937506125399
380,0.8283333333333334,0.8637120212761618,0.7228489660467383
390,0.845,0.8765055504463231,0.7482892524947974
400,0.8363333333333334,0.8686772399713576,0.7353240433938162
410,0.8356666666666666,0.8597074944717965,0.7332372087875215
420,0.8363333333333334,0.860127591706539,0.7372626814090079
430,0.8200000000000001,0.8457316017316018,0.7118688244712646
440,0.7533333333333333,0.7832095566017135,0.5854938563456275
450,0.8039999999999999,0.833390787758446,0.6842921328976163
460,0.795,0.8250149808180947,0.6625017814240687
470,0.812,0.8385032581539964,0.6928103469005756
480,0.8366666666666667,0.859855812125835,0.7362802363259815
490,0.7953333333333333,0.8180905882429641,0.6588401377508795
500,0.7866666666666666,0.8192524033700505,0.647215989095262
510,0.8196666666666668,0.8429002643009913,0.7019836838540463
520,0.8113333333333334,0.8399971662324603,0.6887643505691966
530,0.8196666666666668,0.8387306812180955,0.7027361127457108
540,0.8193333333333334,0.8461743071743072,0.7039457236506872
550,0.7793333333333334,0.8036777128005198,0.6344372876890247
560,0.7786666666666667,0.8046884706953357,0.6358271014691881
570,0.8116666666666668,0.8505144345491633,0.6919774481176045
580,0.8119999999999999,0.8343937308460123,0.692359335739108
590,0.7866666666666666,0.8187652991529693,0.6481247922573036
600,0.7706666666666666,0.8055615675178649,0.6219021876904367
610,0.8039999999999999,0.8287237025555916,0.6836297993777898
620,0.787,0.8183159946448411,0.6472326576265409
630,0.8116666666666668,0.8398775986182099,0.6939452858524517
640,0.7543333333333334,0.7877566175185415,0.594891790708377
650,0.7956666666666666,0.8204178381058176,0.6693006238773501
660,0.8200000000000001,0.8377043260155389,0.7038789766418344
670,0.8200000000000001,0.846892849162872,0.7082100608873849
680,0.795,0.8262676539147128,0.6614807641301952
690,0.7873333333333334,0.825001820572153,0.6481504242564363
700,0.8039999999999999,0.8271190516872753,0.6800783647340288
710,0.8036666666666668,0.8283435333256305,0.6831648373208008
720,0.795,0.828104924146114,0.6653503156676308
730,0.7873333333333333,0.8193412649446211,0.6537313982807709
740,0.7706666666666666,0.8055823697000168,0.6186953215851436
750,0.8200000000000001,0.8562632966162378,0.7045240252540141
760,0.8290000000000001,0.8443102128132555,0.730232462467984
