GLCM_contrast,GLCM_correlation,GLCM_energy,GLCM_homogeneity,entropy_hist_0,entropy_hist_1,kurtosis_intensity_0,kurtosis_intensity_1,mean_intensity_0,mean_intensity_1,skew_intensity_0,skew_intensity_1,std_intensity_0,std_intensity_1,target
99.36812084226732,0.9047400161576452,0.7739266945533615,0.8406480657724877,1.1736925389358384,,4.542058858576305,,10.257710119961551,,2.298895765962212,,22.833630039461397,,G1
0.3310207287126109,0.908168707581827,0.9992073252882386,0.999472435163808,1.9666982186552413,2.4209368965525355,1.385424308952688,-0.0604598387902322,48.66972955127694,68.21467391304348,-0.6913071923934817,-1.1407674008157724,21.594341361934017,32.06060444127721,G1
49.84957078548997,0.9064543618697362,0.8865670099208001,0.920060250468148,1.5701953787955398,,2.9637415837644965,,29.463719835619244,,0.803794286784365,,22.213985700697705,,G1
78.72901578876346,0.9390735541333162,0.7459328261375533,0.8330633381238776,1.3069671906074374,,1.831816740050744,,13.216085583392628,,1.7314964904642431,,25.41300302339006,,G1
0.356752531410807,0.9160437506970174,0.999041917242389,0.9993957392989078,1.788217320865185,,2.847526335183889,,54.27310944747514,,-0.7206788081524919,,18.20828667120237,,G1
39.542884160087134,0.9275586524151668,0.8724873716899711,0.9162295387113928,1.547592255736311,,2.3396715376173165,,33.74459751543389,,0.5054088411558757,,21.810644847296217,,G1
129.0014044452441,0.953537550887152,0.7446524602777339,0.8192506579051418,1.4566264458327738,,1.51062552067913,,19.406831941479734,,1.6927516538217289,,37.25446314256488,,G1
0.6895340403040798,0.899638389586461,0.9991389940856082,0.9994044087694062,2.209700642763732,2.0797400151295875,2.2669105900175617,2.9837820893984985,75.92391302078134,67.2434445445963,-0.7049934276859963,-1.0311884481668896,27.221983739119583,22.39846412555001,G1
64.84546924277409,0.9265879702368064,0.8718957271816711,0.909327533337274,1.833163544298253,,1.888768055348346,,47.66537248113054,,0.4938791130678663,,32.23822344084223,,G1
46.2021026694456,0.9612147436872844,0.8037328839277288,0.8845020590651473,1.1427649677487126,,6.645354071504173,,10.755922555518106,,2.438893324102249,,24.397290621468013,,G1
0.2912946125410898,0.9058483332455838,0.999400936541766,0.999629721738544,1.6326495109044312,1.4839361124091883,1.019869027539166,1.704985151879427,55.4533356487869,39.97878787878788,-0.3182145256398432,1.4233136480078583,19.34553909566514,10.93394097283449,G1
23.24669864099334,0.933531538466434,0.9015669102347474,0.9420658904018456,1.387707239326572,,3.832611549521669,,33.10462910215251,,1.0603393992312031,,21.87141485856657,,G1
34.87419969112201,0.935493438182586,0.9136907965950988,0.9351565351534444,0.572401377701248,,21.06638804853314,,4.505572407594652,,4.17901282544301,,16.433915898597927,,G1
0.271118938322393,0.9058746350477964,0.9994911865107172,0.9996192046533586,2.0286505930472654,,1.6229789474726113,,51.7226846292749,,-0.6080750048312857,,22.120792061535248,,G1
17.572659314722202,0.9206840366151912,0.956590991552908,0.9673878699034016,1.3005259853742568,,11.344683498002874,,28.11412851843477,,1.785468910305862,,19.277353980066582,,G1
127.26788418574664,0.9432842379133342,0.757608505423085,0.8214278931432105,1.264307008509805,,0.7309540712774538,,17.19023830031582,,1.5750370663906603,,33.49073711376339,,G1
0.3965750783483751,0.935498361135656,0.9993729467413736,0.9995431668227,2.022716234931333,,1.5629649375141903,,68.6902788240015,,-1.4180344910246363,,29.06212052089078,,G1
63.83222963204751,0.9393912995244952,0.8784907260822292,0.9104855299829552,1.643511621720569,,1.146959504395822,,42.94025856215866,,0.078501287683012,,31.276428817327083,,G1
79.26975844541407,0.9524579369923408,0.7081497655116599,0.800463010794344,1.5272478147722846,,1.659132959032151,,16.268757567813854,,1.6220379732373749,,28.86400416742145,,G1
0.2526033761939624,0.9104738496165062,0.9995795125154496,0.9996984068723164,1.9824085899738255,2.218070970400113,0.6489459379072161,1.2837878731898975,52.553559739846506,98.64981949458485,-0.5355075669506286,-1.6603022895781805,24.86434456646219,40.37196334283414,G1
39.761180910804015,0.9314658933044236,0.8538646390135548,0.9000807088333302,1.754828202373055,,1.1540394484696836,,34.41115865383018,,0.5432652031433731,,26.86417436694182,,G1
55.84198241694531,0.944921037103743,0.8901414965544244,0.9182620213652768,0.7498060023691056,,14.10724191843484,,6.781128212810047,,3.70682219656072,,22.510903980806308,,G1
0.4611131914152186,0.9279773788977566,0.999306980252158,0.9994876399373416,2.24250217348867,,1.2101937861394243,,66.715641161918,,-0.8035762054110057,,26.666297241210778,,G1
28.15154780418026,0.9364492080007498,0.9447242384032912,0.9588748306513092,1.496154087928888,,7.658717852287133,,36.74838468736402,,1.451622995574857,,24.588600611008545,,G1
100.4707727947461,0.910868563126228,0.8625230437260827,0.884052107227646,0.8500636815156348,,8.651310822242051,,8.18797014068332,,3.017653049829165,,23.734124531487225,,G1
0.4543247135173016,0.8959048070237656,0.999442230034175,0.9995380548045294,2.4161463856173864,2.3988117705372853,0.6461980514930796,-0.5219627591079633,61.96884731404023,46.72747595612596,-0.5024290301735591,-0.1255784962001621,28.04785795281256,33.77738806622673,G1
50.462548754131696,0.9033866850749968,0.9309826368801288,0.9417950810160878,1.6331050335665105,,4.6487544368675655,,35.078408727361776,,1.257612009827803,,25.89099124214989,,G1
179.07996966198357,0.95522017206051,0.7626119536654077,0.81873916078427,1.4697681539421672,,2.562251158703843,,22.29205457564069,,1.882551007903248,,44.703394242767466,,G1
1.218282499342992,0.9152415260208028,0.9989113839732228,0.9991845718542728,2.450064663123202,,1.6553849249301225,,84.70364305384352,,-0.0274307437039031,,33.29680903499332,,G1
