ranking,best_k,best_params,cv_f1_macro_tuned,test_acc_tuned,test_f1_macro_tuned,test_mcc_tuned
Filter_MI,40,"{'svc__C': 10, 'svc__gamma': 0.01}",0.8872796778907965,0.7567567567567568,0.7603686635944701,0.6298871546932667
SVC_coef,50,"{'svc__C': 100, 'svc__gamma': 0.001}",0.8859265483971367,0.6216216216216216,0.6370913037579704,0.43951192441993775
RFE,40,"{'svc__C': 100, 'svc__gamma': 0.001}",0.9252284812847472,0.6756756756756757,0.6935632183908046,0.5139071995565907
PermImp,20,"{'svc__C': 10, 'svc__gamma': 0.01}",0.7706107788204974,0.7567567567567568,0.7546583850931676,0.6361728419057708
